type,rd_percentage,pause,bandwidth_mean,bandwidth_std,bandwidth_min,bandwidth_max,latency_mean,latency_std,latency_min,latency_max,bandwidth_smooth,latency_smooth
DDR3-1600,50,0,37547.39478343364,10.698666832231158,37532.06604703738,37565.77315163875,374.84695837777775,0.16056626511430716,374.57905565,375.006664,37852.732004946585,374.0790846766899
DDR3-1600,50,5,37665.94463689799,14.364839793893497,37651.98056866067,37697.82545383275,374.8734872611111,0.11296732844848699,374.71326185,375.03202225,37407.57937589585,376.34540075563325
DDR3-1600,50,10,37604.643026027596,23.185361817896972,37564.79231368098,37633.20854408387,373.9131022444444,0.2702959687083747,373.2708247,374.2417137,37147.00252067941,374.04630511744375
DDR3-1600,50,15,36808.712375133335,21.354215039179014,36763.233652029674,36840.917553342544,366.8702142888889,0.0962038702570807,366.77025965,367.05638285,36939.75264305923,367.9715227814557
DDR3-1600,50,20,36750.424461230876,38.63854734087101,36694.64336051718,36810.93633057068,364.89417303333335,0.23001138513733702,364.4769345,365.17930735,36654.5809467973,358.9107787670035
DDR3-1600,50,25,35406.840997002524,33.18919021576824,35359.81039489797,35461.0771473141,344.60721404444445,0.14495556033933227,344.4596829,344.88068835,36160.23863565566,347.653798093422
DDR3-1600,50,30,35098.83577568908,22.673976886162126,35059.37397073079,35128.24050895941,331.92636202222224,0.07942848843119668,331.8194196,332.09661905,34842.24312715148,335.64732667315513
DDR3-1600,50,35,34439.04336774584,10.83230454658257,34416.38111427649,34452.51100332025,322.26480457777774,0.05219965845555079,322.2036827,322.3511023,33320.99690109901,320.60234818552226
DDR3-1600,50,40,32682.818443644494,36.248653766378546,32635.483775202963,32748.444151493386,311.3286702,0.07808644840867113,311.21931655,311.46566445,31582.494148151887,307.3835586435772
DDR3-1600,50,45,29142.695735787725,28.96971019509465,29094.16570796133,29170.44618592393,295.2733047722222,0.04576585980165911,295.16784535,295.32099035,29645.794697239297,295.9611857754343
DDR3-1600,50,50,25892.203778140065,43.0690412044228,25829.185093876156,25944.74116421019,286.03534801666666,0.20541971496931472,285.74558105,286.3861759,27861.313679194165,289.0105355866361
DDR3-1600,50,55,26438.380576481337,7.309997543286795,26423.075301951783,26446.40034206775,272.32706039444446,0.06319403944985554,272.22060825,272.4345449,26070.45816707792,284.5162176704875
DDR3-1600,50,60,24713.2363417869,19.357796902536702,24686.469772349647,24745.22963794932,285.0317071777778,0.06731723837351748,284.96069315,285.1644442,24646.2871185064,280.79698136750903
DDR3-1600,50,65,23843.82546649703,18.416679390736405,23815.800846910202,23868.542045013422,281.6771514055556,0.15717353963268132,281.33455995,281.88482165,23769.828618737847,278.1751751757841
DDR3-1600,50,70,23290.833469087916,47.39519516340905,23182.228230763227,23325.797369476288,282.3309929166667,0.08751554830992916,282.2021127,282.4757032,23207.968512960495,276.39228582728634
DDR3-1600,50,80,22120.7703978648,29.443420376741724,22078.860144819424,22165.442974887945,277.6340408888889,0.33857437834949333,277.06106025,278.0198884,22473.917997066226,273.9301571306792
DDR3-1600,50,90,21778.810299662364,12.081138095104807,21764.134334578892,21803.641059813497,264.71196835,0.04744319683070046,264.62028875,264.76724635,21310.568439607,270.59552809897764
DDR3-1600,50,100,20819.370710564668,11.584107061374624,20806.642475314435,20840.004667044122,262.50845108333334,0.04609512129837091,262.43862395,262.57588655,20198.730948288103,264.6941745181047
DDR3-1600,50,120,18843.58399700974,9.650270914482382,18831.41080617204,18864.37096233886,260.6384643555555,0.06115132409190213,260.55288365,260.76483385,18877.317617050223,260.5016562847584
DDR3-1600,50,140,17179.696046477387,8.649213255988494,17166.8515464668,17194.58346902948,258.1280377333334,0.07148170094335159,258.0329877,258.2620911,17552.73600388402,256.46773297903457
DDR3-1600,50,160,15888.66127670785,9.810670385408978,15880.008311659223,15912.439249119934,255.0032902833333,0.04969015787699784,254.9344748,255.08711185,16210.76908105071,254.92909987960437
DDR3-1600,50,180,14694.367742537886,6.122382000467305,14687.816935066305,14705.566821069102,253.29762864444444,0.056379391773809434,253.2053867,253.38306625,14810.77876264886,254.59097279381058
DDR3-1600,50,200,13687.408927686907,31.683401176032028,13671.372689062857,13770.801363560457,252.85586314444447,0.06595970903558016,252.7546331,252.9414926,13534.728662407904,254.03370144574012
DDR3-1600,50,220,12888.31687042221,7.843664698023539,12880.08708380256,12903.831285736287,252.02023336666667,0.08239204107435534,251.9007879,252.1257668,12457.20507071427,252.67651146007574
DDR3-1600,50,260,11220.866257149519,11.295789964928195,11211.61727230892,11246.356739391116,256.3672808388889,0.4489873648999455,255.64830375,256.94921445,11418.563618153728,252.10955213117137
DDR3-1600,50,300,10153.288783032993,10.515564197513195,10139.782065445643,10173.176752170662,251.5478735166667,1.0392224983856704,249.6891029,253.2012798,10317.32855701444,251.63573048938167
DDR3-1600,50,340,9183.611227285497,6.595748148884923,9171.671265018376,9190.85550724122,250.81916844444444,0.7021415211750739,249.30656075,251.6816252,9250.672687753602,250.9019680966725
DDR3-1600,50,380,8463.401379242478,6.897916674629552,8457.72739903255,8480.900886277843,245.37606297777776,0.052720767453453665,245.27604825,245.45164595,8221.677355422735,249.8151841125233
DDR3-1600,50,450,7369.48569546205,13.444832703330636,7340.206350550466,7385.164133368399,251.2611519611111,0.6348773496845455,249.913701,251.9047774,7272.133382938776,248.98280673196126
DDR3-1600,50,550,6207.907686565649,7.80253970099171,6202.754234540748,6224.151724085518,247.78892615,0.5587256802786871,246.982808,248.8782831,6480.236887533278,247.0528021439012
DDR3-1600,50,600,5760.707082476196,6.1237236617935356,5753.536677002517,5771.499403514673,246.41243772777776,0.49875904414547273,245.54209165,246.93342055,5790.889783876268,246.484992873997
